HireDate,count_of_hires,multiple_hires,UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,Right_HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name
25/02/2019,1,False,50,Cardoso,L,Monica,female,Administrative Clerk,Administration,25/02/2019,,43000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
01/07/2014,1,False,47,daSilva,C,Lucas,male,Accounts Payable Clerk,Finance,01/07/2014,,48000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
12/03/2023,1,False,104,Ramos,E,Thais,female,Financial Auditor,Finance,12/03/2023,,68000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
27/03/2018,1,False,68,Souza,F,Leonardo,male,Strategic Planner,Management,27/03/2018,,89000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
28/11/2016,1,False,33,Sampaio,C,Fabiola,female,Product Manager,R&D,28/11/2016,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
18/12/2022,1,False,61,Pereira,E,Marco,male,Quality Manager,Quality Control,18/12/2022,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
30/03/2023,1,False,58,Martins,A,Raissa,female,Public Relations,Marketing,30/03/2023,,58000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
30/05/2019,1,False,102,Nascimento,T,Rodrigo,male,Market Researcher,R&D,30/05/2019,,59000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
20/04/2023,1,False,99,Ferreira,K,Carla,female,Legal Advisor,Legal,20/04/2023,,72000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
19/05/2023,1,False,43,Cavalcante,J,Marcelo,male,Product Designer,R&D,19/05/2023,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
15/01/2018,1,False,3,Silva,J,Lucas,male,Marketing Director,Marketing,15/01/2018,,95000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
10/10/2019,1,False,32,Rodrigues,L,Nicolas,male,SEO Specialist,Marketing,10/10/2019,,58000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
09/11/2020,1,False,4,Oliveira,N,Camila,female,Accountant,Finance,09/11/2020,,62000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
12/05/2023,1,False,109,Pereira,J,Natalia,female,Supply Chain Coordinator,Logistics,12/05/2023,,62000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
22/06/2019,1,False,42,Barreto,F,Camila,female,Financial Controller,Finance,22/06/2019,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
14/02/2015,1,False,11,Rocha,E,Gustavo,male,Warehouse Supervisor,Operations,14/02/2015,,57000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
07/05/2022,1,False,51,Cunha,J,Bruno,male,Social Media Manager,Marketing,07/05/2022,,59000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
11/06/2017,1,False,96,Costa,B,Tiago,male,Brand Manager,Marketing,11/06/2017,,85000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
17/12/2015,1,False,41,Pinto,G,Renato,male,Security Officer,Security,17/12/2015,,42000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
14/08/2021,1,False,69,Alves,E,Renata,female,Sales Director,Sales,14/08/2021,,97000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
29/01/2018,1,False,77,Almeida,T,Igor,male,Maintenance Manager,Operations,29/01/2018,,72000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
02/05/2020,1,False,34,Alves,D,Jorge,male,Buyer,Procurement,02/05/2020,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
03/05/2018,1,False,62,Teixeira,S,Sara,female,Graphic Artist,Marketing,03/05/2018,,52000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
18/10/2022,1,False,88,Nascimento,J,Carlos,male,Product Manager,Sales,18/10/2022,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
28/02/2020,1,False,94,Nascimento,E,Gustavo,male,Compliance Manager,Legal,28/02/2020,,88000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
24/05/2022,1,False,23,Ramos,K,Douglas,male,Sales Manager,Sales,24/05/2022,,85000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
11/09/2015,1,False,67,daCosta,J,Isabel,female,Office Manager,Administration,11/09/2015,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
02/06/2021,1,False,81,Ramos,P,Thiago,male,Quality Control Inspector,Quality Control,02/06/2021,,48000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
02/10/2021,1,False,60,Oliveira,D,Amanda,female,Operations Analyst,Operations,02/10/2021,,54000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
04/07/2022,1,False,110,Silva,T,Anderson,male,Research Manager,R&D,04/07/2022,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
09/02/2017,1,False,21,Pinto,D,Marcelo,male,Graphic Designer,Marketing,09/02/2017,,53000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data14.csv,output_data14.csv,questions_data14
