HireDate,count_of_hires,multiple_hires,UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,Right_HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name
24/08/1966,1,False,65,Santos,E,Luiz,other,Production Worker,Customer Service,24/08/1966,,49315,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data22.csv,output_data22.csv,questions_data22
26/03/1982,1,False,97,Lima,NA,Clara,male,Engineer,Marketing,26/03/1982,17/10/2021,90692,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data22.csv,output_data22.csv,questions_data22
04/01/1959,1,False,2,Lima,F,Ana,male,Engineer,Marketing,04/01/1959,,118785,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data22.csv,output_data22.csv,questions_data22
13/07/1982,1,False,78,Santos,NA,Carlos,other,Production Worker,Sales,13/07/1982,,41309,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data22.csv,output_data22.csv,questions_data22
23/08/1964,1,False,96,Pereira,C,Clara,male,IT Specialist,Finance,23/08/1964,,98344,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data22.csv,output_data22.csv,questions_data22
24/03/2007,1,False,34,Oliveira,C,Pedro,female,Production Worker,IT,24/03/2007,,39546,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data22.csv,output_data22.csv,questions_data22
22/03/2011,1,False,72,Lima,C,Carlos,other,Sales Associate,Finance,22/03/2011,08/01/2022,57490,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data22.csv,output_data22.csv,questions_data22
26/03/1987,1,False,108,Pereira,NA,Luiz,male,Administrative Assistant,Customer Service,26/03/1987,,39617,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data22.csv,output_data22.csv,questions_data22
25/04/1999,1,False,43,Soares,E,Luiz,male,Engineer,Engineering,25/04/1999,,96614,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data22.csv,output_data22.csv,questions_data22
13/11/2023,1,False,4,NA,D,Pedro,male,Production Worker,Admin,13/11/2023,,49817,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data22.csv,output_data22.csv,questions_data22
